date,ret_pct,kp_chain,la_chain,kp_panchang,la_panchang
2022-09-13,0.142,0.5,0.5,2.5,2.5
2022-09-14,1.309,0.28,0.28,-0.5,-0.5
2022-09-15,-0.936,0.5,0.5,2.5,2.5
2022-09-16,-1.494,0.0,0.0,2.5,2.5
2022-09-19,0.465,0.5,0.5,-0.5,-0.5
2022-09-20,0.258,0.0,0.0,1.5,1.5
2022-09-21,-0.27,0.28,0.28,1.5,1.5
2022-09-22,0.114,-0.16,-0.16,2.5,2.5
2022-09-23,-1.515,-0.34,-0.34,2.5,2.5
2022-09-26,-0.816,1.0,1.0,0.5,0.5
2022-09-27,-0.605,0.5,0.5,2.5,2.5
2022-09-28,-0.071,0.0,0.0,1.5,1.5
2022-09-29,-1.033,-0.22,-0.22,-0.5,-0.5
2022-09-30,1.764,-0.44,-0.44,2.5,2.5
2022-10-03,-1.256,-0.44,-0.44,2.5,2.5
2022-10-04,0.74,0.0,0.0,-0.5,-0.5
2022-10-06,-0.273,0.5,0.5,1.5,1.5
2022-10-07,0.159,0.78,0.78,1.5,1.5
2022-10-10,0.858,0.5,0.5,1.5,1.5
2022-10-11,-1.579,0.28,0.28,2.5,2.5
2022-10-12,0.576,0.5,0.5,2.5,2.5
2022-10-13,-0.427,-0.44,-0.44,-0.5,-0.5
2022-10-14,-0.789,0.5,0.5,1.5,1.5
2022-10-17,0.974,-0.12,-0.12,2.5,2.5
2022-10-18,0.276,0.28,0.28,2.5,2.5
2022-10-19,-0.318,-0.16,-0.16,0.5,0.5
2022-10-20,0.808,-0.16,-0.16,1.5,1.5
2022-10-21,-0.264,-0.34,-0.34,2.5,2.5
2022-10-24,-0.032,1.0,1.0,-2.5,-2.5
2022-10-25,-0.853,-0.25,-0.25,-2.5,-2.5
2022-10-27,-0.194,0.72,0.72,2.5,2.5
2022-10-28,0.171,0.0,0.0,2.5,2.5
2022-10-31,0.57,0.5,0.5,1.5,1.5
2022-11-01,0.081,0.5,0.5,1.5,1.5
2022-11-02,-0.523,0.5,0.5,-0.5,-0.5
2022-11-03,0.469,0.0,0.0,1.5,1.5
2022-11-04,0.353,-0.78,-0.78,1.5,1.5
2022-11-07,-0.049,0.28,0.28,-0.5,-0.5
2022-11-09,-0.718,0.22,0.22,2.5,2.5
2022-11-10,-0.09,0.5,0.5,1.5,1.5
