date,open,close,high,low
2015-08-11,18918.55078125,18616.900390625,18918.55078125,18555.5
2015-08-12,18515.19921875,18059.75,18515.19921875,18034.75
2015-08-13,18211.5,18175.400390625,18359.25,18080.5
2015-08-14,18275.5,18723.599609375,18766.0,18193.099609375
2015-08-17,18763.05078125,18822.05078125,18896.44921875,18580.650390625
2015-08-18,18862.150390625,18780.849609375,18874.099609375,18595.5
2015-08-19,18753.44921875,18703.25,18803.5,18636.099609375
2015-08-20,18533.25,18283.099609375,18711.349609375,18219.900390625
2015-08-21,17978.25,18057.19921875,18118.80078125,17842.099609375
2015-08-24,17446.349609375,16811.80078125,17446.349609375,16740.69921875
2015-08-25,17084.150390625,17192.75,17269.150390625,16670.55078125
2015-08-26,17113.099609375,16917.650390625,17172.19921875,16875.5
2015-08-27,17175.650390625,17214.400390625,17249.5,17061.849609375
2015-08-28,17425.30078125,17211.94921875,17569.80078125,17099.80078125
2015-08-31,17137.25,17146.55078125,17353.30078125,17028.900390625
2015-09-01,16983.80078125,16530.30078125,16983.80078125,16436.849609375
2015-09-02,16703.94921875,16252.7001953125,16714.5,16218.650390625
2015-09-03,16404.94921875,16555.400390625,16607.400390625,16320.5498046875
2015-09-04,16444.19921875,16129.099609375,16444.19921875,15933.150390625
2015-09-07,16222.2001953125,15790.099609375,16273.349609375,15762.2001953125
2015-09-08,15888.5,16350.9501953125,16419.0,15819.5498046875
2015-09-09,16658.349609375,16631.5,16781.55078125,16462.44921875
2015-09-10,16351.75,16597.650390625,16711.55078125,16192.25
2015-09-11,16682.25,16612.599609375,16781.150390625,16518.80078125
2015-09-14,16596.5,16911.80078125,16937.900390625,16525.150390625
2015-09-15,16905.80078125,16739.55078125,16919.44921875,16681.55078125
2015-09-16,16885.19921875,16964.849609375,17015.75,16780.150390625
2015-09-18,17184.25,17409.150390625,17602.0,17156.19921875
2015-09-21,17186.05078125,17542.900390625,17571.30078125,17178.849609375
2015-09-22,17574.599609375,17031.150390625,17652.349609375,16946.25
2015-09-23,16783.80078125,17255.30078125,17309.69921875,16759.0
2015-09-24,17206.099609375,17196.650390625,17283.099609375,17070.55078125
2015-09-28,17286.25,17100.30078125,17384.75,17073.94921875
2015-09-29,16859.75,17281.19921875,17461.349609375,16648.30078125
